peak_id,featID
25970,FT13090
38311,FT13090
37453,FT13148
50471,FT13161
25976,FT13161
38323,FT13161
203038,FT13194
28152,FT13194
190287,FT13209
216696,FT13209
40838,FT13209
97385,FT13235
127372,FT13235
90513,FT13235
132849,FT13235
31857,FT13235
28153,FT13235
62939,FT13235
19518,FT13235
40841,FT13235
56891,FT13235
203054,FT13254
25258,FT13254
28158,FT13368
216862,FT13775
203215,FT13775
28179,FT13775
25154,FT13851
50178,FT13851
40891,FT13851
31385,FT13851
90540,FT13851
255044,FT13854
196994,FT13854
203238,FT13854
255043,FT13853
216888,FT13854
190518,FT13854
34640,FT13869
90542,FT13869
117827,FT13869
129863,FT13869
135604,FT13869
65616,FT13869
72008,FT13871
40892,FT13869
28186,FT13869
19520,FT13869
56894,FT13869
104071,FT13869
81569,FT13869
197003,FT13880
127365,FT13880
40906,FT14101
197081,FT14159
40914,FT14158
190621,FT14158
25822,FT14170
203331,FT14170
229663,FT14170
25720,FT14326
87748,FT14381
34660,FT14382
50408,FT14403
25722,FT14403
34668,FT14449
87729,FT14453
90571,FT14488
31828,FT14821
